,SeniorCitizen,tenure,MonthlyCharges,gender_1,Dependents_1,PhoneService_1,MultipleLines_1,InternetService_1,Contract_1,Contract_2,Churn_1
2191,0,22,39,0,1,0,0,1,0,0,0
5805,0,29,31,0,0,0,0,0,0,0,0
810,0,7,20,0,0,1,1,1,1,0,1
2742,0,42,25,1,0,0,1,0,0,1,0
2573,0,45,26,0,0,1,0,0,0,0,0
3635,1,48,59,0,0,1,1,0,0,1,0
6863,0,37,80,0,0,1,1,0,1,0,0
3027,1,11,83,0,0,1,0,0,0,0,0
6759,0,69,93,0,1,1,1,1,1,0,0
1821,0,35,24,0,1,1,1,1,0,0,0
1312,1,66,81,0,0,1,1,0,1,0,1
4033,1,22,20,0,0,1,0,0,1,0,0
3863,0,24,90,1,0,1,1,1,0,0,0
5865,0,68,24,1,0,1,0,0,0,0,0
3168,0,18,20,1,1,1,0,0,1,0,0
6400,0,1,69,0,0,1,1,0,0,1,1
1742,1,56,105,0,0,1,0,1,0,0,1
5921,0,22,20,1,0,1,0,0,1,0,0
2901,0,4,19,1,0,1,1,1,0,1,0
4458,0,13,35,0,0,0,1,1,0,0,0
2281,0,37,68,0,0,1,1,0,0,0,0
65,1,69,20,1,0,1,0,0,0,0,0
6360,0,11,20,0,1,1,0,0,0,0,0
6284,0,41,103,1,1,1,1,1,0,0,1
5383,0,0,81,0,1,1,1,1,0,0,0
4875,0,4,29,0,0,0,1,1,0,0,0
4427,0,58,21,1,0,1,0,1,0,1,0
5403,0,8,65,0,0,1,1,0,0,0,0
6346,0,19,78,1,0,1,0,0,0,0,1
966,1,21,60,1,0,1,0,0,0,0,1
742,0,13,80,0,0,1,1,1,0,0,0
1615,0,24,90,0,0,1,0,0,1,0,0
3384,0,12,80,0,0,1,0,1,0,0,0
1633,0,14,82,1,0,1,0,0,0,0,0
34,0,60,94,0,0,1,0,0,0,0,0
5346,1,66,100,1,0,1,1,0,0,1,1
1654,0,17,90,1,0,1,0,0,1,0,1
277,0,32,88,1,0,1,0,0,0,0,0
2195,0,1,70,0,0,1,1,0,1,0,1
6610,0,68,86,1,1,1,0,1,0,0,0
634,0,1,20,0,1,1,0,0,1,0,0
5600,0,48,46,0,1,0,0,1,0,0,0
3410,0,44,49,0,0,0,0,0,0,0,0
6241,0,15,25,0,0,1,0,0,0,0,1
1749,0,18,61,0,0,1,1,1,0,0,0
2531,0,11,80,1,1,1,1,0,0,1,1
5253,0,72,66,1,0,0,0,0,1,0,0
5534,0,65,108,0,0,1,1,1,0,0,0
2021,0,11,100,0,0,1,0,1,0,1,1
4091,0,37,65,0,0,1,1,0,0,0,0
1410,0,54,97,0,0,1,1,1,0,0,0
5181,1,12,44,1,0,0,1,0,0,1,1
6002,0,21,20,1,0,1,1,1,0,0,0
4055,0,6,25,1,1,1,0,0,0,1,0
6588,0,5,89,0,0,1,1,0,0,1,1
389,0,28,61,1,0,1,0,0,0,0,0
4130,0,2,70,0,0,1,0,0,0,0,1
2307,1,37,76,0,0,1,0,0,1,0,1
2825,0,65,71,0,0,1,1,0,0,0,0
4405,0,16,65,0,0,1,0,1,0,0,1
7025,1,27,71,1,0,1,1,1,0,0,0
1483,0,8,45,1,0,1,0,0,1,0,1
6343,0,65,26,0,1,1,0,0,1,0,0
3614,0,62,81,1,1,1,0,0,0,1,0
629,0,2,91,1,0,1,1,1,0,0,0
6454,0,12,26,1,1,1,1,1,0,0,0
4102,0,47,54,1,1,1,0,0,0,0,0
6444,0,4,30,1,0,0,1,0,1,0,0
5895,0,39,90,0,1,1,0,0,0,0,1
6063,0,66,26,1,1,1,0,0,0,1,0
5357,0,20,20,1,0,1,0,0,0,1,0
718,0,6,49,0,1,1,0,0,0,0,0
6661,0,25,20,1,0,1,0,0,0,1,0
1653,0,19,21,1,1,1,0,0,0,1,0
1395,0,64,86,0,0,1,1,0,1,0,0
5735,0,1,60,1,0,1,0,0,0,1,1
710,0,1,79,0,0,1,0,0,0,0,1
4655,0,13,66,1,0,1,1,0,1,0,0
4706,0,6,91,0,0,1,0,0,0,0,0
5283,0,63,108,0,0,1,0,0,0,0,1
6229,1,41,98,1,0,1,1,0,0,1,1
5988,0,70,110,1,0,1,0,0,0,1,1
1129,0,15,19,1,0,1,1,1,0,0,0
4426,0,64,25,1,1,1,1,1,1,0,0
6984,0,1,45,1,0,1,0,0,0,0,0
5711,0,4,86,0,1,1,1,1,0,0,1
5000,0,33,100,0,0,1,0,0,0,0,0
4754,0,17,99,0,1,1,1,0,0,1,1
1629,0,37,91,0,0,1,0,0,0,1,0
3918,1,3,80,0,0,1,0,1,0,0,1
6526,0,36,31,0,0,0,1,1,1,0,0
6626,0,57,20,0,1,1,0,1,0,0,0
2017,0,28,20,0,0,1,0,0,0,1,0
6769,0,3,60,0,0,1,0,0,0,1,0
3788,0,68,111,0,0,1,0,1,0,1,0
462,0,71,111,0,0,1,1,1,0,0,0
5228,0,62,23,1,0,1,0,0,0,0,0
2476,0,1,49,1,0,1,0,0,0,1,0
3484,0,50,70,1,1,1,0,1,0,0,0
3298,0,16,20,1,0,1,0,0,0,0,0
5899,0,7,80,0,0,1,1,1,0,0,1
3802,1,30,90,0,0,1,0,0,0,0,0
5745,0,1,79,1,0,1,1,0,0,1,1
870,0,12,105,0,1,1,1,1,0,1,0
3615,0,49,20,1,0,1,1,1,0,0,0
6089,0,1,20,1,0,1,1,1,0,0,0
6517,1,5,74,0,0,1,0,0,0,0,1
5528,1,71,25,1,0,1,0,0,1,0,0
1602,0,37,95,0,1,1,0,1,0,0,0
2776,0,12,75,1,0,1,0,1,0,0,0
5191,1,32,85,1,0,1,1,0,0,1,1
1678,1,10,87,1,0,1,1,1,1,0,1
3161,0,72,93,0,1,1,0,0,1,0,0
5397,0,18,55,1,0,1,0,1,0,0,0
5376,1,60,89,0,0,1,1,0,1,0,0
198,1,56,96,0,0,1,1,1,0,1,0
1430,1,72,110,1,0,1,1,0,1,0,0
3162,0,18,50,0,0,1,1,0,0,0,0
1488,0,1,74,1,0,1,0,0,0,0,0
3198,0,5,66,1,0,1,1,1,1,0,0
944,0,56,100,0,1,1,1,1,0,0,0
7026,0,13,86,0,0,1,0,0,0,0,0
864,0,61,74,0,1,1,1,1,0,0,0
3210,1,68,80,1,0,1,0,0,1,0,0
1135,0,1,75,0,0,1,1,1,0,1,1
200,1,2,70,1,0,1,0,1,1,0,0
6694,0,3,75,0,0,1,1,0,0,1,0
2472,0,53,61,1,0,1,1,0,0,1,0
2006,0,1,69,1,0,1,1,0,0,0,1
2611,1,67,61,1,0,1,0,1,0,0,0
3609,0,13,19,1,0,1,1,1,1,0,0
5747,1,60,106,0,0,1,1,0,1,0,0
2323,0,32,99,1,0,1,1,1,0,0,0
3443,0,54,94,0,0,1,0,1,1,0,0
1373,1,58,99,1,0,1,0,0,0,0,1
7018,0,56,105,1,0,1,0,1,0,0,0
956,0,36,19,0,0,1,1,0,0,1,0
5917,0,1,31,0,0,0,0,0,0,0,0
3991,0,67,110,1,0,1,1,1,0,0,0
5298,0,1,20,0,0,1,1,1,0,0,0
4135,1,53,54,1,0,0,1,0,0,1,1
5803,0,49,95,1,0,1,1,1,0,0,0
4770,0,45,20,1,0,1,0,0,1,0,1
6051,0,52,91,1,0,1,0,0,0,0,0
2342,0,35,21,0,0,1,1,1,0,0,0
1707,0,18,20,1,0,1,0,1,0,0,0
1624,0,64,89,1,0,1,1,1,1,0,0
4918,0,5,21,0,0,1,0,0,0,1,0
5610,0,10,30,0,0,0,1,1,0,0,0
3536,0,3,90,1,1,1,1,1,0,0,0
2329,0,65,25,1,1,1,1,1,1,0,0
4480,0,1,70,0,0,1,0,1,0,0,1
3844,1,23,35,1,0,0,1,0,1,0,0
4566,0,10,89,0,1,1,0,1,1,0,0
798,0,37,90,1,0,1,0,0,0,0,0
1069,1,60,99,1,0,1,0,0,1,0,0
2203,1,33,110,0,0,1,1,1,1,0,1
6362,0,53,98,1,0,1,1,1,0,0,0
3381,0,9,65,1,0,1,0,0,1,0,0
2883,0,7,45,1,1,1,1,0,0,1,0
5508,0,1,70,0,0,1,1,0,0,1,1
4143,0,0,20,1,1,1,1,1,0,0,0
5539,0,55,21,0,1,1,0,0,1,0,0
266,0,13,44,1,1,1,1,0,0,1,0
6683,0,15,85,1,0,1,0,0,1,0,0
5590,0,24,94,1,0,1,0,0,0,0,0
1605,0,12,85,1,0,1,0,0,0,1,0
4707,1,33,94,1,0,1,1,1,1,0,0
3781,0,3,90,1,0,1,0,0,1,0,0
4366,1,72,117,0,0,1,1,1,0,0,0
6844,0,13,20,1,0,1,0,1,0,0,0
5523,0,22,85,0,1,1,0,1,0,0,0
1170,0,25,60,1,1,1,1,1,0,1,0
6832,0,29,80,1,1,1,0,0,0,1,0
2873,1,43,110,0,0,1,1,1,0,0,1
4959,0,62,101,0,1,1,0,0,0,0,0
1161,0,70,19,0,0,1,0,0,0,0,0
5453,0,15,20,0,0,1,0,0,0,1,1
749,1,5,85,0,0,1,0,1,1,0,1
6904,1,9,74,1,0,1,0,0,0,0,0
6922,0,52,98,0,1,1,0,1,0,0,0
569,0,7,51,1,0,1,0,0,1,0,1
4307,0,1,46,0,0,1,1,1,0,0,1
4376,0,36,95,1,1,1,0,1,1,0,0
6513,0,1,49,1,0,1,1,0,0,0,0
5422,1,1,70,0,0,1,0,0,0,1,1
2691,0,1,75,0,0,1,0,0,1,0,1
1911,0,2,20,0,0,1,1,1,0,1,0
1896,0,3,81,0,1,1,1,0,0,0,0
5284,0,47,99,0,0,1,0,0,0,0,1
1526,1,24,80,1,0,1,0,1,0,0,0
3803,1,34,90,1,0,1,1,1,0,1,0
5070,0,5,56,1,0,1,0,1,1,0,0
178,0,2,76,0,0,1,1,1,0,0,1
4025,0,5,51,1,0,0,0,1,0,0,1
6226,0,72,25,1,0,1,1,0,0,1,0
2529,0,49,99,1,0,1,0,0,1,0,1
280,0,52,84,0,1,1,0,0,0,0,0
1927,0,71,85,1,1,1,1,1,0,0,0
6116,0,66,20,1,1,1,1,0,1,0,0
5183,0,12,20,1,0,1,1,1,0,0,0
4160,0,13,80,0,0,1,0,0,1,0,0
4439,0,2,55,0,0,1,0,0,0,1,1
817,0,56,36,1,1,0,0,1,1,0,0
1884,0,42,55,0,0,1,0,0,1,0,0
809,0,4,95,1,0,1,0,1,0,0,0
6256,0,57,74,1,1,1,0,0,0,0,0
3631,0,37,20,0,0,1,0,0,0,0,0
3800,1,55,85,0,0,1,1,1,0,1,1
6313,0,47,95,1,0,1,0,1,0,0,0
2443,1,3,31,0,0,0,1,1,0,1,0
334,0,65,61,0,1,1,1,1,0,0,0
2082,0,3,20,1,0,1,1,0,0,0,1
233,0,52,86,0,1,1,0,0,0,1,0
1301,0,31,94,1,0,1,0,0,0,1,0
6078,0,21,75,1,0,1,1,0,1,0,0
1145,0,7,70,0,0,1,0,1,0,0,0
5093,0,12,95,1,0,1,1,0,0,1,0
1720,0,7,20,0,1,1,0,1,0,0,0
6201,0,18,19,1,0,1,0,1,0,0,0
6450,1,11,111,1,0,1,0,0,0,1,0
2417,0,3,75,0,0,1,0,0,0,0,1
4831,0,44,20,1,0,1,0,0,1,0,0
2988,1,18,20,0,0,1,1,1,0,1,0
1809,0,20,97,1,1,1,1,1,0,0,0
3019,0,66,62,0,0,0,0,0,0,0,0
6876,0,1,70,1,0,1,0,1,1,0,1
1415,0,32,19,1,1,1,0,1,1,0,0
4295,1,72,77,1,0,1,0,0,1,0,0
6677,1,1,85,0,0,1,0,0,0,0,1
6899,0,6,85,1,0,1,0,0,0,0,1
5068,0,71,99,1,0,1,0,0,0,1,0
4792,0,2,20,1,1,1,1,1,1,0,0
6593,0,58,86,1,0,1,0,0,0,0,0
4784,0,29,19,0,0,1,0,0,0,0,0
2217,0,6,76,1,0,1,1,0,0,1,1
5218,0,67,90,1,1,1,0,0,1,0,0
6818,1,69,110,1,0,1,0,0,0,1,0
2077,0,19,60,0,0,1,0,1,0,0,0
1603,0,40,101,1,0,1,1,0,0,0,1
6900,0,62,94,0,0,1,0,1,1,0,0
3229,0,39,80,1,1,1,1,1,0,0,1
392,0,12,61,0,0,0,0,0,0,0,0
2646,1,1,89,0,0,1,0,0,0,1,1
340,0,30,66,0,1,1,0,0,0,0,0
4937,1,51,20,0,0,1,0,0,1,0,0
943,1,22,90,1,0,1,0,0,0,1,1
5386,1,14,80,0,0,1,0,0,0,0,0
801,0,9,20,1,0,1,1,1,0,0,0
6937,0,70,66,0,1,1,0,0,0,0,0
3688,0,38,20,0,0,1,1,1,0,0,0
5643,0,22,20,1,0,1,0,1,0,0,0
3452,1,1,70,1,0,1,0,0,0,0,0
6028,0,32,20,0,0,1,0,1,0,0,0
2150,1,71,90,0,0,1,1,1,0,0,0
2793,1,1,70,0,0,1,1,1,0,0,1
1747,0,20,89,1,0,1,1,1,0,0,1
936,1,1,89,1,0,1,0,0,0,1,1
2458,0,39,19,1,1,1,1,1,0,1,0
6088,1,68,20,1,1,1,0,0,0,0,0
6774,0,3,20,1,0,1,0,0,0,0,0
6242,0,49,30,1,0,0,1,1,0,1,0
3306,0,2,43,0,0,0,0,1,0,0,1
6692,0,4,76,0,0,1,1,0,0,0,0
4514,1,5,90,1,0,1,0,1,0,0,1
2396,0,54,106,1,1,1,1,1,1,0,0
3253,0,69,19,1,0,1,1,1,0,0,0
900,0,1,45,0,0,1,0,0,0,0,0
6843,0,31,103,1,0,1,1,1,0,0,1
3965,1,35,95,1,0,1,1,1,1,0,0
3504,0,19,76,0,1,1,0,0,0,1,0
2197,1,14,74,0,0,1,1,0,0,0,1
4212,0,37,24,0,1,1,0,1,0,0,0
5697,0,1,36,0,0,0,1,1,1,0,0
918,0,18,78,0,0,1,1,1,0,0,0
4181,0,70,58,0,0,0,1,1,0,0,0
2397,0,54,75,1,0,1,0,1,0,0,0
3826,0,36,56,0,0,1,1,0,0,1,0
1814,0,41,102,0,1,1,0,0,0,1,0
540,0,2,81,0,1,1,1,1,0,1,0
2393,0,64,20,1,0,1,1,1,1,0,0
3532,0,4,98,0,1,1,0,0,0,0,1
4975,0,62,20,1,1,1,1,1,0,1,0
4325,0,24,70,1,1,1,0,0,0,0,0
1882,0,26,49,1,0,1,0,0,0,0,0
4684,0,33,54,0,0,1,0,1,1,0,0
2133,0,4,78,0,0,1,0,1,0,0,1
2746,0,1,69,1,0,1,0,0,0,1,1
3100,0,69,99,1,1,1,1,1,0,0,0
6587,0,34,100,1,0,1,1,1,0,0,1
3002,0,13,79,0,0,1,0,0,1,0,0
3704,0,30,25,0,1,1,1,0,1,0,0
5478,0,72,105,1,1,1,0,1,0,1,0
2276,0,19,20,0,1,1,1,1,0,0,0
6312,0,71,95,0,1,1,0,1,1,0,0
2941,0,18,86,1,1,1,1,1,0,1,0
3538,0,18,84,1,0,1,0,1,0,1,0
3234,0,65,109,1,0,1,0,0,0,1,1
6847,0,51,95,1,0,1,0,0,0,0,1
4669,1,13,107,1,0,1,0,0,0,1,1
516,0,65,60,0,0,1,0,0,1,0,0
6285,0,35,26,0,1,1,0,0,1,0,0
359,1,3,80,1,0,1,1,1,1,0,1
2337,0,57,109,0,0,1,1,1,1,0,0
6145,0,65,79,0,1,1,0,0,0,1,0
2364,0,12,20,1,1,1,1,1,0,0,0
747,0,52,54,1,0,1,0,1,0,0,0
1507,0,54,81,0,0,1,0,0,0,1,0
20,0,1,70,0,0,1,0,0,0,0,0
6290,0,61,79,0,1,1,1,1,0,1,0
5211,0,3,50,1,0,1,1,1,0,0,0
3159,0,44,21,1,1,1,1,1,0,0,0
276,0,6,46,0,0,1,1,1,0,0,0
659,0,1,75,1,1,1,0,0,0,0,0
6842,0,27,46,1,1,0,0,0,1,0,0
3092,0,68,80,1,1,1,0,0,0,0,0
4248,0,35,41,0,1,0,1,1,0,0,0
5136,0,46,25,1,1,1,1,1,0,0,0
1104,0,71,25,0,0,1,0,0,1,0,0
4080,0,36,19,0,1,1,1,0,0,1,0
6273,0,69,87,1,1,1,0,1,0,0,0
6604,0,26,60,0,1,1,0,0,0,0,1
1659,0,58,75,1,1,1,1,0,0,1,0
4691,1,72,25,1,0,1,1,1,0,0,0
2362,1,60,72,1,0,1,0,0,0,0,0
6592,0,33,58,0,1,1,0,0,1,0,0
390,0,39,51,0,1,1,1,1,0,0,0
229,0,20,81,0,0,1,1,0,0,1,0
2427,0,51,19,1,0,1,0,0,0,0,0
6562,0,21,20,1,1,1,1,1,0,0,0
1333,0,34,61,0,0,1,0,0,1,0,0
2984,0,59,20,0,0,1,1,0,1,0,0
6820,0,70,110,0,1,1,1,1,0,0,0
2923,1,1,20,1,0,1,0,1,0,0,1
3389,0,71,84,0,0,1,0,1,0,0,0
5299,0,53,21,0,0,1,1,1,0,0,1
5695,0,1,70,1,0,1,1,1,0,1,1
2836,0,7,78,0,0,1,1,1,0,0,0
1118,0,1,25,1,0,0,1,1,0,0,0
2071,0,11,42,1,0,0,1,1,0,1,1
4904,0,1,20,1,0,1,1,1,0,0,0
3213,0,43,20,0,0,1,0,0,1,0,0
6038,0,3,101,1,0,1,1,1,0,1,1
4995,0,1,30,1,1,0,1,1,0,0,1
5681,0,31,104,0,1,1,0,0,1,0,1
3876,0,40,64,0,0,1,1,1,0,0,0
650,1,71,105,1,1,1,0,1,0,0,1
48,1,15,90,0,0,1,1,0,0,1,1
1358,0,52,103,1,0,1,0,1,0,0,0
4674,0,18,20,1,0,1,0,0,1,0,0
5208,0,31,85,0,0,1,0,0,0,0,0
886,0,40,20,1,1,1,0,1,0,0,0
2369,0,60,60,0,1,0,1,1,0,1,0
1407,0,69,44,0,1,0,0,0,0,1,0
585,1,26,86,0,0,1,1,1,0,0,0
3769,0,16,81,1,0,1,1,0,0,0,0
58,0,3,25,0,0,1,1,0,0,1,0
4741,1,53,104,1,0,1,0,1,0,0,1
1643,0,7,79,0,0,1,0,1,0,0,1
3463,0,3,30,1,0,0,1,1,0,0,0
3248,0,58,93,0,1,1,1,1,0,0,1
6695,0,12,54,1,0,1,1,0,0,1,0
2560,0,71,71,0,1,1,1,1,0,0,0
5493,0,43,91,1,0,1,1,1,0,0,0
3152,0,10,70,1,0,1,0,1,1,0,1
3111,0,60,104,1,1,1,1,1,0,1,0
17,0,1,70,1,1,1,1,1,0,1,1
208,0,13,83,1,0,1,0,1,0,0,1
3287,0,23,20,0,0,1,1,1,1,0,0
1275,0,1,19,1,0,1,0,0,0,1,0
2653,0,27,20,1,0,1,0,0,0,1,0
3119,0,57,95,0,1,1,1,1,0,0,0
2652,0,47,74,0,0,1,0,0,0,0,0
4700,0,48,96,0,1,1,0,0,0,0,1
3446,0,51,79,0,1,1,1,1,1,0,0
1593,1,8,70,1,0,1,0,0,0,0,1
3247,0,1,94,0,0,1,1,1,0,1,1
5121,0,57,19,1,1,1,1,0,1,0,0
590,0,11,76,0,0,1,1,1,0,1,0
667,0,6,110,0,0,1,0,0,0,0,1
4214,0,17,36,0,0,0,1,1,0,0,0
1975,0,18,83,1,1,1,0,0,0,1,0
6734,0,38,62,1,0,1,0,0,0,0,1
5155,1,20,107,1,0,1,0,1,1,0,0
1432,0,68,73,0,1,1,0,0,0,0,0
6955,0,3,70,1,0,1,0,0,0,0,0
6018,0,47,79,1,0,1,0,0,0,1,0
6821,0,4,49,1,1,1,1,1,0,0,1
6489,0,44,94,0,1,1,0,0,0,0,0
1404,0,64,68,0,0,1,1,0,0,1,0
2483,1,66,106,0,0,1,1,1,0,0,1
1338,0,49,25,0,1,1,0,0,0,0,0
4898,0,72,105,1,0,1,0,0,0,0,0
6398,0,41,81,0,0,1,1,1,0,1,0
4983,1,49,90,1,0,1,0,0,0,0,1
1767,0,7,35,1,0,0,1,1,0,1,0
2209,1,4,74,1,0,1,0,0,0,0,1
6268,1,71,73,1,1,1,0,0,1,0,0
4193,1,2,49,1,0,1,0,0,0,0,1
4685,0,54,65,1,0,1,1,1,0,1,0
31,0,27,21,1,1,1,0,1,0,0,0
2835,0,24,75,1,1,1,1,0,1,0,0
6240,0,67,118,1,0,1,1,1,0,0,1
5942,1,72,89,0,0,1,0,0,0,0,0
3086,0,5,20,0,0,1,1,1,0,0,0
6064,0,37,41,1,0,0,0,0,0,0,0
694,0,12,49,0,0,1,0,0,1,0,0
5954,0,6,20,1,1,1,0,0,0,0,0
1314,1,63,90,0,0,1,1,1,1,0,0
1172,0,70,115,1,1,1,1,1,0,0,0
732,0,24,101,1,0,1,0,1,0,0,1
2420,0,18,99,1,0,1,0,0,0,0,1
1551,0,48,111,1,0,1,1,0,0,1,0
2088,1,69,90,1,0,1,1,0,1,0,1
130,0,70,95,1,0,1,1,1,0,0,0
3870,1,1,74,1,0,1,0,0,1,0,0
69,0,54,66,1,1,1,0,1,0,0,0
6796,0,70,20,1,1,1,1,0,0,0,0
6981,0,7,19,1,0,1,0,0,0,0,0
373,0,2,70,0,0,1,1,1,1,0,0
705,0,26,21,1,0,1,0,1,0,0,0
3301,0,71,24,1,1,1,0,1,0,0,0
1163,0,7,74,0,0,1,1,1,0,0,1
5684,1,65,71,1,0,1,0,1,1,0,0
4652,0,1,45,0,0,1,0,0,1,0,1
491,0,9,20,1,1,1,0,0,0,0,0
2411,0,5,51,0,1,1,1,0,0,1,0
4296,0,11,75,1,0,1,1,0,0,0,1
6054,1,56,105,1,1,1,1,1,0,0,1
2148,1,10,86,1,0,1,0,0,0,0,1
1852,0,51,60,0,1,0,0,0,0,0,0
6067,0,22,87,1,0,1,0,0,1,0,0
4855,0,2,49,0,0,1,0,1,0,1,0
1511,0,18,20,0,0,1,0,0,0,1,0
1864,0,2,86,1,0,1,0,0,1,0,1
2040,0,1,20,1,0,1,1,0,0,1,0
4392,0,3,50,1,1,1,0,0,0,0,1
6330,0,10,70,1,0,1,1,1,0,0,1
2435,0,5,20,1,0,1,0,0,0,0,0
5,1,68,90,0,0,1,1,1,0,0,1
6735,0,13,20,0,0,1,0,0,0,1,0
4412,0,1,50,1,0,1,1,0,1,0,1
5051,0,67,94,0,1,1,1,1,0,0,0
5366,0,2,54,1,0,1,0,0,0,1,1
4734,0,53,20,1,1,1,0,0,1,0,1
5765,0,69,24,1,0,1,1,1,1,0,0
1429,0,3,55,1,0,1,1,0,0,1,0
3488,0,6,70,1,1,1,1,0,0,0,0
882,0,50,44,1,0,0,0,1,0,0,0
5491,0,67,19,1,0,1,0,0,0,0,0
1574,0,4,21,0,1,1,0,0,1,0,0
3955,0,32,19,0,0,1,0,0,0,0,0
3835,0,8,20,1,0,1,0,0,1,0,0
5067,0,35,46,0,1,0,0,0,0,0,0
1127,0,3,34,0,0,0,0,0,1,0,1
1835,0,4,86,1,0,1,0,0,0,0,0
3964,1,7,75,1,0,1,1,1,0,1,0
6996,0,24,64,0,1,1,0,0,1,0,0
5845,0,51,96,1,0,1,1,1,0,0,0
4887,0,17,19,0,0,1,0,0,0,0,0
1690,0,41,86,0,0,1,1,1,0,0,0
6511,0,71,90,0,0,1,0,0,0,1,0
2902,0,48,79,1,1,1,0,1,0,0,0
5381,1,2,19,1,0,1,1,1,0,0,0
6430,0,34,55,0,0,1,0,0,0,0,0
4720,0,9,44,0,0,1,1,1,1,0,0
4914,0,47,106,0,0,1,1,0,0,1,0
4501,1,10,30,0,0,0,0,0,0,1,1
756,0,11,45,1,0,1,0,0,0,1,0
4209,0,50,100,0,0,1,0,0,0,0,0
6966,1,1,44,1,0,1,0,0,1,0,0
519,0,24,90,1,0,1,0,0,0,0,1
292,0,64,95,0,0,1,0,1,1,0,0
6795,1,65,86,1,1,1,1,1,0,0,0
6673,0,13,45,1,1,1,0,0,0,0,0
2039,0,67,26,1,0,1,1,1,0,0,0
947,0,1,20,1,1,1,1,1,0,0,0
418,1,2,89,0,0,1,0,1,0,0,1
6337,0,35,69,1,1,1,1,1,1,0,0
6605,0,72,95,0,1,1,1,1,1,0,0
6794,1,28,26,0,0,1,0,0,0,1,0
832,0,12,54,0,0,1,0,0,1,0,0
2943,0,3,79,1,0,1,1,0,0,1,1
2469,0,7,75,1,0,1,0,0,1,0,1
4077,0,68,71,1,1,1,1,1,0,0,0
1112,1,2,80,0,0,1,1,0,0,1,1
4768,0,66,86,1,0,1,0,0,0,1,0
2180,0,64,93,1,1,1,0,1,0,1,0
6035,0,72,101,0,0,1,1,1,1,0,0
1743,0,49,41,0,0,0,1,0,0,1,0
5110,1,3,87,0,0,1,1,1,0,0,1
6758,0,39,103,0,0,1,0,0,0,0,1
5576,0,5,43,1,0,0,0,0,0,0,1
1070,0,50,55,1,1,1,0,1,0,0,0
3294,0,25,62,1,1,1,0,1,0,0,0
3138,1,2,71,0,0,1,0,0,0,0,1
4590,1,23,88,0,1,1,1,1,0,1,0
5030,0,62,116,1,1,1,0,1,0,0,0
173,0,37,20,0,1,1,0,1,1,0,0
6857,0,48,97,1,0,1,0,1,0,0,0
5449,0,57,53,0,1,1,0,1,0,1,0
3958,0,2,75,1,0,1,1,1,0,0,0
6016,0,68,110,0,0,1,1,1,1,0,0
5819,0,1,54,1,0,1,1,1,0,1,1
6197,0,1,19,1,0,1,0,0,0,0,0
1362,0,68,109,0,1,1,0,1,0,0,0
1451,0,1,20,1,0,1,1,0,0,0,0
6107,0,5,51,1,0,1,0,0,0,0,0
4586,0,23,48,1,1,1,1,1,0,1,1
3063,0,12,80,1,0,1,1,1,0,0,0
5265,1,65,109,0,0,1,1,1,1,0,0
1388,1,72,84,0,0,1,0,0,0,0,0
4064,0,34,20,1,0,1,0,0,0,0,0
2598,0,52,40,1,0,0,0,1,0,0,0
4762,0,36,41,0,1,0,0,1,0,0,0
841,0,18,56,0,1,1,1,1,0,1,0
3183,0,24,100,1,0,1,0,0,0,0,0
3237,1,72,90,0,0,1,0,0,0,1,0
4083,0,72,79,1,0,1,1,1,0,0,0
6567,0,8,20,0,0,1,1,1,0,0,0
3947,0,2,45,1,0,1,0,0,0,0,1
3431,0,10,21,0,0,1,1,1,0,0,0
5289,0,42,54,1,1,1,1,1,1,0,0
4118,0,52,50,1,1,0,0,1,0,0,0
4750,1,26,95,0,0,1,0,0,1,0,1
5001,0,72,89,1,0,1,0,0,0,0,0
1082,1,72,78,0,0,1,1,0,0,1,0
326,1,58,45,1,0,0,0,1,0,0,1
4954,0,71,77,0,0,1,0,1,0,0,0
3513,0,54,63,1,1,1,0,0,0,0,0
6564,0,68,85,0,1,1,0,0,0,0,0
5997,0,48,71,1,0,1,1,1,0,0,0
6382,0,40,25,1,1,1,0,0,1,0,0
3461,0,47,110,1,0,1,0,0,0,0,1
2064,0,54,95,0,0,1,0,0,1,0,0
2749,0,1,20,0,0,1,1,0,1,0,0
1788,0,72,87,1,0,1,0,0,0,1,0
3839,1,9,81,0,0,1,0,0,0,0,1
6123,1,71,96,1,0,1,1,1,1,0,0
5486,0,27,96,0,0,1,1,0,0,1,0
2204,1,2,66,1,0,1,1,1,1,0,1
3167,0,37,79,0,0,1,0,0,0,1,1
5361,0,2,61,1,1,1,0,0,1,0,0
6397,0,13,24,0,0,0,0,0,1,0,1
5728,0,3,71,1,1,1,1,1,0,0,0
6097,0,6,55,0,0,1,1,0,0,1,0
3320,0,16,85,0,0,1,0,0,0,0,1
7036,0,72,89,1,1,1,0,0,1,0,0
3188,0,56,91,0,0,1,0,0,0,0,0
4348,1,65,104,0,1,1,0,0,0,0,0
5885,0,11,60,1,1,1,1,0,1,0,0
6244,0,64,105,1,0,1,1,1,0,0,0
6307,0,14,86,0,1,1,0,0,0,0,0
3501,0,34,61,0,1,1,1,0,0,1,0
1043,0,16,86,0,0,1,0,1,0,0,0
4026,0,35,73,1,1,1,1,1,0,1,0
2551,0,72,117,0,1,1,0,0,0,0,0
4190,0,9,66,0,1,1,1,1,0,0,0
3874,0,4,20,0,0,1,0,0,0,0,0
